OrderID,ProductName,Discount,Sales,Profit,Quantity,SubCategory
BN-2011-7407039,"OFS-Enermax Note Cards, Premium",0.5,$45.00,-$26.00,3,Paper
AZ-2011-9050313,"FUR-Dania Corner Shelving, Traditional",0,$854.00,$290.00,7,Bookcases
AZ-2011-6674300,"OFS-Binney & Smith Sketch Pad, Easy-Erase",0,$140.00,$21.00,3,Art
AZ-2011-6674300,"OFS-Binney & Smith Sketch Pad, Easy-Erase",0,$140.00,$21.00,3,Art
BN-2011-2819714,"OFS-Boston Markers, Easy-Erase",0.5,$27.00,-$22.00,2,Art
BN-2011-2819714,"OFS-Eldon Folders, Single Width",0.5,$17.00,-$1.00,2,Storage
AZ-2011-617423,"OFS-Binney & Smith Pencil Sharpener, Water Color",0,$90.00,$21.00,3,Art
AZ-2011-617423,"OFS-Sanford Canvas, Fluorescent",0,$207.00,$77.00,4,Art
AZ-2011-2918397,"FUR-Bush Floating Shelf Set, Pine",0.1,$155.00,$36.00,1,Bookcases
AZ-2011-2918397,"OFS-Accos Thumb Tacks, Assorted Sizes",0,$33.00,$2.00,3,Fasteners
AZ-2011-2918397,"OFS-Smead Lockers, Industrial",0.1,$716.00,$143.00,4,Storage
BN-2011-3248724,"FUR-Ikea Classic Bookcase, Metal",0.6,$987.00,"-$1,012.00",6,Bookcases
BN-2011-3248724,"OFS-Binney & Smith Sketch Pad, Blue",0.5,$116.00,-$56.00,5,Art
BN-2011-3248724,"FUR-Ikea Classic Bookcase, Metal",0.6,$987.00,"-$1,012.00",6,Bookcases
BN-2011-3248724,"OFS-Binney & Smith Sketch Pad, Blue",0.5,$116.00,-$56.00,5,Art
AZ-2011-7053593,"FUR-SAFCO Executive Leather Armchair, Red",0,"$1,384.00",$14.00,3,Chairs
AZ-2011-7053593,"OFS-Binney & Smith Canvas, Blue",0,$103.00,$20.00,2,Art
AZ-2011-6439906,"FUR-Bevis Training Table, with Bottom Storage",0.6,$268.00,-$342.00,2,Tables
AZ-2011-4827146,"OFS-Boston Canvas, Fluorescent",0,$55.00,$10.00,1,Art
AZ-2011-4827146,"OFS-Smead Trays, Single Width",0,$97.00,$31.00,2,Storage
AZ-2011-6439906,"OFS-Novimex File Folder Labels, Alphabetical",0,$40.00,$6.00,5,Labels
AZ-2011-6712797,"OFS-Ibico Hole Reinforcements, Recycled",0,$22.00,$7.00,3,Binders
AZ-2011-2222024,"OFS-Green Bar Note Cards, Multicolor",0.5,$34.00,-$6.00,2,Paper
AZ-2011-9927716,"FUR-Hon Chairmat, Adjustable",0,$290.00,$70.00,5,Chairs
AZ-2011-5702370,"FUR-Ikea Stackable Bookrack, Traditional",0.1,$552.00,$165.00,5,Bookcases
AZ-2011-5702370,"OFS-Binney & Smith Canvas, Blue",0,$257.00,$49.00,5,Art
AZ-2011-5702370,"OFS-Ibico Index Tab, Clear",0,$17.00,$6.00,2,Binders
AZ-2011-5702370,"TECH-Epson Printer, White",0,$522.00,$21.00,2,Machines
BN-2011-4913858,"OFS-Wilson Jones Hole Reinforcements, Durable",0.5,$9.00,-$3.00,3,Binders
BN-2011-4913858,"OFS-Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",0.5,$22.00,-$12.00,4,Labels
BN-2011-4913858,"OFS-Green Bar Cards & Envelopes, Multicolor",0.5,$50.00,-$38.00,2,Paper
BN-2011-4913858,"OFS-Smead Lockers, Blue",0.5,$198.00,-$131.00,2,Storage
BN-2011-2807470,"OFS-Sanford Pens, Fluorescent",0.5,$31.00,-$14.00,5,Art
AZ-2011-5960662,"OFS-Xerox Message Books, Premium",0,$224.00,$103.00,11,Paper
AZ-2011-5960662,"TECH-StarTech Card Printer, White",0,$486.00,$78.00,3,Machines
AZ-2011-5960662,"TECH-Apple Headset, with Caller ID",0,$440.00,$66.00,6,Phones
